0	1	0.086173	7	310	800
800 1.58967e-05 0.102145 2.27468e-06 -4.0425 0 0.112138
790 1.65871e-05 0.103661 2.3658e-06 -4.0826 0 0.113509
780 1.72221e-05 0.105761 2.5229e-06 -4.2131 0 0.114935
770 1.73048e-05 0.106733 2.57704e-06 -4.25702 0 0.115567
760 1.76138e-05 0.109859 2.72223e-06 -4.47906 0 0.11909
750 1.92738e-05 0.112236 2.83871e-06 -4.62795 0 0.120325
740 2.0095e-05 0.114996 3.03684e-06 -4.77754 0 0.123723
730 2.06876e-05 0.117645 3.22329e-06 -5.00359 0 0.125929
720 2.11861e-05 0.120179 3.38712e-06 -5.21928 0 0.127922
710 2.30389e-05 0.125126 3.4915e-06 -5.48884 0 0.132733
700 2.40808e-05 0.128198 3.93388e-06 -5.79567 0 0.136664
697.143 2.39414e-05 0.128843 3.93972e-06 -5.79828 0 0.136315
694.286 2.48465e-05 0.129812 3.90971e-06 -5.91325 0 0.137125
691.429 2.45438e-05 0.130981 4.03902e-06 -5.92899 0 0.138174
688.571 2.52869e-05 0.130963 4.06294e-06 -5.97459 0 0.138617
685.714 2.60353e-05 0.132896 4.23866e-06 -6.00863 0 0.140013
682.857 2.6496e-05 0.134896 4.41096e-06 -6.13244 0 0.142422
680 2.63623e-05 0.135409 4.42895e-06 -6.1976 0 0.142237
677.143 2.69807e-05 0.136055 4.32074e-06 -6.26799 0 0.143092
674.286 2.71834e-05 0.138914 4.61462e-06 -6.41224 0 0.145177
671.429 2.76089e-05 0.140892 4.79796e-06 -6.52121 0 0.147501
668.571 2.80788e-05 0.142124 4.8536e-06 -6.73275 0 0.149609
665.714 2.87072e-05 0.141295 4.7922e-06 -6.60537 0 0.14762
662.857 2.93491e-05 0.143517 5.13639e-06 -6.659 0 0.150157
660 2.97213e-05 0.145281 5.00921e-06 -6.87302 0 0.1519
657.143 2.95243e-05 0.14822 5.19481e-06 -6.97323 0 0.154617
654.286 3.028e-05 0.147803 5.37794e-06 -7.01394 0 0.1537
651.429 3.03216e-05 0.150187 5.36073e-06 -7.10932 0 0.15673
648.571 3.13361e-05 0.152545 5.64033e-06 -7.30102 0 0.159083
645.714 3.18233e-05 0.15415 5.71109e-06 -7.3742 0 0.160015
642.857 3.24123e-05 0.156046 5.89601e-06 -7.44762 0 0.161486
640 3.3464e-05 0.157506 5.98714e-06 -7.59817 0 0.16399
637.143 3.55138e-05 0.160768 6.04726e-06 -7.73308 0 0.166795
